A.S	ey z
A42128	ey f ao r t uw w ah n t uw ey t
AALSETH	aa l s eh th
AAMODT	aa m ah t
AARONS	eh r ah n z
ABADI	ah b ae d iy
ABANTO	ah b ae n t ow
ABBEY'S	ae b iy z
ABDELLA	ae b d eh l ah
ABLEST	ey b ah l s t
ABLY	ey b l iy
ABOARD	ah b ao r d
ABORTS	ah b ao r t s
ABOUD	aa b uw d
ABOUNDS	ah b aw n d z
ABRAM'S	ey b r ah m z
ABRAXAS	ah b r ae k s ah z
ABREAST	ah b r eh s t
ABREU	ah b r uw
ABRON	ah b r aa n
ABSCOND	ae b s k aa n d
ABSOLUT	ae b s ah l uw t
ABUSERS	ah b y uw z er z
ABUSIVE	ah b y uw s ih v
ABZUG	ae b z ah g
AC	ey s iy
ACCARDI	aa k aa r d iy
ACCEDED	ae k s iy d ih d
ACCENTS	ae k s eh n t s
ACCOST	ah k ao s t
ACCRUES	ah k r uw z
ACCURSO	aa k uh r s ow
ACE	ey s
ACECOMM	ey s k aa m
ACER	ey s er
ACIDITY	ah s ih d ah t iy
ACMAT	ae k m ae t
ACROBAT	ae k r ah b ae t
ACTION	ae k sh ah n
ACTIVE	ae k t ih v
ACTON	ae k t ah n
ACTUATE	ae k ch uw ey t
ACUMEN	ah k y uw m ah n
ADAGIO	ah d aa zh iy ow
ADAMES	ah d ey m z
ADAMO	aa d aa m ow
ADAMS'S	ae d ah m z ih z
ADAPTER	ah d ae p t er
ADARAND	ae d ah r ae n d
ADCOCK	ah d k aa k
ADDED	ae d ah d
ADDER	ae d er
ADDIE	ae d iy
ADDUCT	ae d ah k t
ADELL	ah d eh l
ADELSON	ae d ah l s ah n
ADER	ey d er
ADID	ah d ih d
ADLERS	ae d l er z
ADLONG	ae d l ao ng
ADMIRES	ae d m ay r z
ADO	ah d uw
ADOBE'S	ah d ow b iy z
ADOLFO	ah d aa l f ow
ADOPTED	ah d aa p t ah d
ADOREES	ae d er iy z
ADORNA	aa d ao r n ah
ADRAGNA	aa d r aa g n ah
ADVANCE	ah d v ae n s
ADVEST	ae d v eh s t
ADVISES	ae d v ay z ih z
AE	ey
AFFIX	ae f ih k s
AFGHAN	ae f g ae n
AFGHANI	ae f g aa n iy
AFLOAT	ah f l ow t
AGATHA	ae g ah th ah
AGE'S	ey jh ih z
AGELESS	ey jh l ah s
AGENT	ey jh ah n t
AGER	ey jh er
AGERS	ey jh er z
AGILDO	ah g ih l d ow
AGILE	ae jh ah l
AGNETA	aa g n eh t ah
AGNEW	ae g n uw
AGONY	ae g ah n iy
AGREES	ah g r iy z
AGRICO	ah g r iy k ow
AGUA	aa g w ah
AGUILAR	ae g ah l aa r
AGUILO	ah g w iy l ow
