LAMEY	l ey m iy
LAMINER	l ae m ah n er
LAMMEY	l ae m iy
LAMONT	l ah m aa n t
LAMORTE	l aa m ao r t iy
LAMPKIN	l ae m p k ih n
LAMPP	l ae m p
LAMPTON	l ae m p t ah n
LAMSON	l ae m s ah n
LANAI	l ah n ay
LANCIA	l aa n ch ah
LANDERS	l ae n d er z
LANDI	l ae n d iy
LANDOLT	l ae n d ow l t
LANDRUM	l ae n d r ah m
LANDT	l ae n t
LANGBO	l ae ng b ow
LANGERS	l ae ng er z
LANGMAN	l ae ng m ah n
LANGUID	l ae ng g w ah d
LANIGAN	l ae n ih g ah n
LANNA	l ae n ah
LANNERS	l ae n er z
LANNI	l ae n iy
LANNING	l ae n ih ng
LANSKY	l ae n s k iy
LANTANA	l ae n t ae n ah
LANZA	l ae n z ah
LAPALME	l aa p aa l m iy
LAPIANA	l aa p iy ae n ah
LAPKA	l aa p k ah
LAPLACA	l ah p l aa k ah
LAPPE	l ae p
LAPPEN	l ae p ah n
LAPPING	l ae p ih ng
LAPSLEY	l ae p s l iy
LARCHE	l aa r ch iy
LARINA	l aa r iy n ah
LARIZZA	l er ih z ah
LARMORE	l aa r m ao r
LARNED	l aa r n d
LAROCHE	l aa r ow sh
LAROSE	l aa r ow s iy
LARSEN	l aa r s ah n
LARSH	l aa r sh
LASHED	l ae sh t
LASKI	l aa s k iy
LASKY	l ae s k iy
LASORSA	l aa s ao r s ah
LASS	l ae s
LAST	l ae s t
LAST'S	l ae s t s
LASTEST	l ae s t ah s t
LASZLO	l ae z l ow
LATA	l aa t ah
LATELLA	l aa t eh l ah
LATENT	l ey t ah n t
LATHAN	l ae th ah n
LATHE	l ey dh
LATHEM	l ae th ih m
LATHER	l ae dh er
LATIN	l ae t ah n
LATONA	l aa t ow n ah
LATRINE	l ah t r iy n
LATROBE	l aa t r ow b
LATSCH	l ae ch
LATSHAW	l ae ch ao
LAUFER	l ao f er
LAURDAN	l ao r d ah n
LAURENZ	l aw r ey n z
LAURI	l ao r iy
LAVE	l ey v
LAVER	l ey v er
LAVERY	l ey v er iy
LAVETTE	l ah v eh t
LAVI	l ey v iy
LAVINE	l aa v iy n iy
LAWHEAD	l ao hh eh d
LAWHON	l ao hh ah n
LAWHORN	l ae w er n
LAWLOR	l ao l er
LAWNS	l ao n z
LAWPLAN	l ao p l ae n
LAWSHE	l ao sh
LAX	l ae k s
LAY-UP	l ey ah p
LAYMEN	l ey m ah n
LAYOFFS	l ey ao f s
LAZAR	l ey z er
LAZARE	l aa z aa r ey
LAZEAR	l ah z ih r
LAZIER	l ey z iy er
LE	l ah
LEABO	l iy b ow
LEACH'S	l iy ch ih z
LEADOFF	l iy d ao f
LEAF	l iy f
LEAGUE	l iy g
LEAK	l iy k
LEANEST	l iy n ah s t
LEANN	l iy ae n
LEANZA	l iy ae n z ah
LEARN	l er n
LEATHER	l eh dh er
LEATON	l iy t ah n
LEBER	l iy b er
LEBO	l ey b ow
LEBOWE	l ih b ow
LECHNER	l eh k n er
LECLERC	l ah k l er k
LECOMTE	l ih k aa m t
LECOUNT	l ih k uw n t
LEDDEN	l eh d ah n
LEDONNE	l eh d ah n
LEDWITH	l eh d w ih th
LEEDS'S	l iy d z ih z
LEEN	l iy n
LEETH	l iy th
LEFEVRE	l ah f ey v er
LEFF	l eh f
LEFFLER	l eh f l er
LEFORT	l eh f er t
LEFTIST	l eh f t ih s t
LEGATO	l ah g aa t ow
LEGAULT	l ih g ow
LEGGITT	l eh g ih t
LEGION	l iy jh ah n
LEGLER	l eh g l er
LEH	l eh
LEHEW	l ey hh y uw
LEHL	l eh l
LEHNER	l eh n er
LEHRER	l eh r er
LEIFER	l ay f er
LEIKAM	l ay k ah m
LEILANI	l ah l aa n iy
LEIMAN	l ay m ah n
LEIMER	l ay m er
LEINER	l ay n er
LEISS	l ay s
LEIST	l iy ih s t
LEMBCKE	l eh m b k iy
LEMMER	l eh m er
LEMONT	l ah m aa n t
LENDING	l eh n d ih ng
LENDS	l eh n d z
LENE	l iy n
LENHART	l eh n hh aa r t
LENORE	l ah n ao r
LEONES	l iy ow n z
LEONORA	l iy ah n ao r ah
LEPER	l eh p er
LEPISTO	l eh p iy s t ow
LERNER	l er n er
LEROUX	l er uw
LES	l eh s
LESANE	l ey s aa n ey
LESHER	l eh sh er
LESIAK	l eh s iy ae k
LESS	l eh s
LESSON	l eh s ah n
LESSORS	l eh s er z
LET	l eh t
LETA	l eh t ah
LETO	l iy t ow
LETSON	l eh t s ah n
LETTICE	l eh t ih s
LEVANT	l ah v ae n t
LEVELED	l eh v ah l d
LEVIEN	l eh v iy ah n
LEVITCH	l eh v ih ch
LEVITY	l eh v ih t iy
LEVITZ	l eh v ih t s
LEW	l uw
LEWANNA	l uw ih n ah
LEYA	l ey ah
LEYH	l ey
LIANNE	l iy ae n
LIB	l ih b
LIBERAL	l ih b er ah l
LIBERTE	l ih b er t ey
LIBERTI	l iy b eh r t iy
LIBRARY	l ay b r eh r iy
LIBYA	l ih b iy ah
LICHENS	l ay k ah n z
LICITRA	l iy ch iy t r ah
LICKER	l ih k er
LIEBEL	l iy b ah l
LIEBLER	l iy b l er
LIFFE'S	l ih f s
LIFT	l ih f t
LIFTED	l ih f t ah d
LIGGETT	l ih g ih t
