!EXCLAMATION-POINT	EH K S K L AH M EY SH AH N P OY N T
(BEGIN-PARENS	B IH G IH N P ER EH N Z
(IN-PARENTHESES	IH N P ER EH N TH AH S IY Z
(LEFT-PAREN	L EH F T P ER EH N
(OPEN-PARENTHESES	OW P AH N P ER EH N TH AH S IY Z
(PAREN	P ER EH N
(PARENS	P ER EH N Z
(PARENTHESES	P ER EH N TH AH S IY Z
)CLOSE-PAREN	K L OW Z P ER EH N
)CLOSE-PARENTHESES	K L OW Z P ER EH N TH AH S IY Z
)END-PAREN	EH N D P ER EH N
)END-PARENS	EH N D P ER EH N Z
)END-PARENTHESES	EH N D P ER EH N TH AH S IY Z
)END-THE-PAREN	EH N D DH AH P ER EH N
)PAREN	P ER EH N
)PARENS	P ER EH N Z
)RIGHT-PAREN	R AY T P ER EH N
)RIGHT-PAREN(2)	R AY T P EH R AH N
)UN-PARENTHESES	AH N P ER EH N TH AH S IY Z
;SEMI-COLON(2)	S EH M IH K OW L AH N
A(2)	EY
AARONSON'S(2)	AA R AH N S AH N Z
AARONSON(2)	AA R AH N S AH N
AB(2)	EY B IY
ABABA(2)	AA B AH B AH
ABBE(2)	AE B EY
ABBOUD(2)	AH B AW D
ABBREVIATED(2)	AH B R IY V IY EY T IH D
ABDOMEN(2)	AE B D AH M AH N
ABDOMINAL(2)	AH B D AA M AH N AH L
ABDUCTED(2)	AH B D AH K T IH D
ABDUCTING(2)	AH B D AH K T IH NG
ABDUCTION(2)	AH B D AH K SH AH N
ABDUCTIONS(2)	AH B D AH K SH AH N Z
ABDUCTOR(2)	AH B D AH K T ER
ABDUCTORS(2)	AH B D AH K T ER Z
ABELES(2)	EY B AH L IY Z
ABEND(2)	AH B EH N D
ABERLE(2)	AE B ER L
ABKHAZIA(2)	AE B K AE Z Y AH
ABKHAZIAN(2)	AE B K AE Z IY AH N
ABKHAZIAN(3)	AE B K AA Z Y AH N
ABKHAZIAN(4)	AE B K AE Z Y AH N
ABKHAZIANS(2)	AE B K AE Z IY AH N Z
ABLER(2)	EY B L ER
ABLEST(2)	EY B L AH S T
ABOLITIONISTS(2)	AE B AH L IH SH AH N AH S
ABORTIONISTS(2)	AH B AO R SH AH N IH S
ABS(2)	AE B Z
ABSOLVE(2)	AE B Z AA L V
ABSOLVED(2)	AE B Z AA L V D
ABSOLVES(2)	AE B Z AA L V Z
ABSOLVING(2)	AE B Z AA L V IH NG
ABSORPTION(2)	AH B S AO R P SH AH N
ABSTAIN(2)	AE B S T EY N
ABSTAINED(2)	AE B S T EY N D
ABSTAINING(2)	AE B S T EY N IH NG
ABSTENTION(2)	AE B S T EH N CH AH N
ABSTENTIONS(2)	AE B S T EH N CH AH N Z
ABT(2)	EY B IY T IY
ABTS(2)	EY B IY T IY Z
ABTS(3)	EY B IY T IY EH S
ABUSE(2)	AH B Y UW Z
ABUSES(2)	AH B Y UW Z IH Z
ABZUG(2)	AE B Z UH G
ACADEMICIANS(2)	AH K AE D AH M IH SH AH N Z
ACCENT(2)	AE K S EH N T
ACCEPT(2)	AH K S EH P T
ACCEPTABLE(2)	AH K S EH P T AH B AH L
ACCEPTABLY(2)	AH K S EH P T AH B L IY
ACCEPTANCE(2)	AH K S EH P T AH N S
ACCEPTED(2)	AH K S EH P T AH D
ACCEPTING(2)	AH K S EH P T IH NG
ACCIDENTAL(2)	AE K S AH D EH N AH L
ACCIDENTALLY(2)	AE K S AH D EH N AH L IY
ACCOMPANIMENT(2)	AH K AH M P N IY M AH N T
ACCOMPANIMENTS(2)	AH K AH M P N IY M AH N T S
ACCOMPLI(2)	AH K AA M P L IY
ACCOUNTABILITY(2)	AH K AW N AH B IH L IH T IY
ACCOUNTABLE(2)	AH K AW N AH B AH L
ACCOUNTED(2)	AH K AW N AH D
ACCOUNTING(2)	AH K AW N IH NG
ACCUMULATIVELY(2)	AH K Y UW M Y AH L AH T IH V L IY
ACCUSATION(2)	AE K Y UW Z EY SH AH N
ACCUSATIONS(2)	AE K Y UW Z EY SH AH N Z
ACERO(2)	AH S Y EH R OW
ACERO(3)	AH TH EH R OW
ACETIC(2)	AH S IY T IH K
ACETYLCHOLINE(2)	AH S IY T AH L K OW L IY N
ACKNOWLEDGE(2)	IH K N AA L IH JH
ACKNOWLEDGEABLE(2)	IH K N AA L IH JH AH B AH L
ACKNOWLEDGED(2)	IH K N AA L IH JH D
ACKNOWLEDGEMENT(2)	IH K N AA L IH JH M AH N T
