Name;IRI ShortForm;IRI Namespace;Perception Id;Description
AbrasiveSponge;suturo:'AbrasiveSponge';http://www.ease-crc.org/ont/SUTURO.owl#;46;An abrasive sponge is a cleaning tool designed to scrub away tough dirt and grime from surfaces using its rough, abrasive surface. It is typically made from materials such as nylon, polyester, or natural fibers, and is commonly used in the kitchen and bathroom for cleaning dishes, pots, pans, and other surfaces.
Apple;suturo:'Apple';http://www.ease-crc.org/ont/SUTURO.owl#;66;An apple is a round or oval-shaped fruit with a red, green, or yellow skin, a crisp, juicy flesh, and a core with seeds in the center.
Bag;suturo:'Bag';http://www.ease-crc.org/ont/SUTURO.owl#;69;A bag is a container made of flexible or rigid materials, such as cloth, paper, or plastic, used to store or transport objects. It often has an opening at the top and can be closed with a zipper, button, or other fastening mechanism. Bags come in a variety of shapes and sizes and are used for a wide range of purposes, from carrying groceries and books to holding personal belongings when traveling.
Banana;suturo:'Banana';http://www.ease-crc.org/ont/SUTURO.owl#;77;A banana is a long, curved fruit with a yellow skin that is easy to peel, a soft, sweet flesh, and small seeds inside.
Baseball;suturo:'Baseball';http://www.ease-crc.org/ont/SUTURO.owl#;12;A baseball is a ball used in the sport of baseball, made of cork or rubber, and covered with leather or synthetic materials, and is roughly the size of an adult's fist.
BleachCleanserBottle;suturo:'BleachCleanserBottle';http://www.ease-crc.org/ont/SUTURO.owl#;8;A bleach cleanser bottle is a container designed to hold a cleaning solution that contains bleach, a powerful disinfectant and stain remover. It typically has a nozzle or cap that dispenses the solution in a controlled manner to effectively clean and sanitize surfaces.
Bottle;soma:'Bottle';http://www.ease-crc.org/ont/SOMA.owl#;42;A container with a narrow neck used to store fluids.
Bowl;soma:'Bowl';http://www.ease-crc.org/ont/SOMA.owl#;29;A round, deep object used to contain food or liquid.
CerealBox;soma:'CerealBox';http://www.ease-crc.org/ont/SOMA.owl#;55;A box which holds, or at least is intended to usually hold, cereal flakes.
CoffeeCan;suturo:'CoffeeCan';http://www.ease-crc.org/ont/SUTURO.owl#;62;A coffee can is a cylindrical container typically made of metal or plastic, used for storing and transporting coffee or other dry goods.
CoffeePack;suturo:'CoffeePack';http://www.ease-crc.org/ont/SUTURO.owl#;31;A coffee pack typically refers to a package containing ground coffee or coffee beans used for making coffee, usually in a drip coffee maker, espresso machine, or French press. The packaging is designed to keep the coffee fresh and flavorful, and often includes information on the type of roast, flavor profile, and origin of the coffee.
CrackerBox;suturo:'CrackerBox';http://www.ease-crc.org/ont/SUTURO.owl#;10;A box containing, or at least intended to contain, crackers. A cracker is a flat, dry-baked pastry, usually made from flour.
Cup;soma:'Cup';http://www.ease-crc.org/ont/SOMA.owl#;53;A round shaped container used for storing liquid and drinking out of it, typically has  a handle for grasping.
Cupboard;soma:'Cupboard';http://www.ease-crc.org/ont/SOMA.owl#;3;A cupboard is a piece of furniture used for storage, typically in the kitchen or dining room, and often used for storing dishes, glassware, and food items. It can come in various shapes and sizes, ranging from small wall-mounted cabinets to larger standalone units with multiple shelves and compartments.
DesignedChair;soma_home:'DesignedChair';http://www.ease-crc.org/ont/SOMA-HOME.owl#;2;A piece of furniture designed for one person to sit on.
DesignedHandle;soma:'DesignedHandle';http://www.ease-crc.org/ont/SOMA.owl#;78;An item designed to fit well within a grasping hand, often attached to another item to enhance its manipulability.
DesignedHandle;soma:'DesignedHandle';http://www.ease-crc.org/ont/SOMA.owl#;15;An item designed to fit well within a grasping hand, often attached to another item to enhance its manipulability.
Dice;suturo:'Dice';http://www.ease-crc.org/ont/SUTURO.owl#;54;Dice are small, cube-shaped objects with markings on each face, typically used in games of chance and gambling, to generate random numbers, or for other recreational purposes.
